,Unnamed: 0_x,FUND_NAME,ADMINSTRATION_FEES,MANAGEMENT_FEES,Unnamed: 0_y,MULTI_MANAGER_STRUCTURE,NAME,SOFTCLOSING,SRC_UID,RISK_LEVEL,DATE_SHARE,CNT_SHARE
0,0,Charadrius tricollaris,0.0011,0.00439286,76,1,Charadrius tricollaris,0.0,189669305873243,Moderate risk,30.01.2012,20
1,1,Boa constrictor mexicana,0.003,0.013,9,0,Boa constrictor mexicana,1.0,198188413318323,Moderate risk,03.07.2014,11
2,3,Psophia viridis,0.00195,0.012,10,0,Psophia viridis,0.0,206670770,High risk,27.04.2000,13
3,4,Alcelaphus buselaphus cokii,0.00173125,0.008375,11,1,Alcelaphus buselaphus cokii,0.0,181701414249,Moderate risk,26.06.2006,18
4,7,Megaderma spasma,0.00258571,0.01407143,15,0,Megaderma spasma,0.0,206670742,High risk,30.11.1995,14
5,8,Crotaphytus collaris,0.00042308,0.00263077,18,1,Crotaphytus collaris,0.0,323418458,Low / moderate risk,10.02.1992,8
6,9,Nucifraga columbiana,0.00024,0.0014,20,0,Nucifraga columbiana,0.0,40232932742,Low / moderate risk,06.11.2003,7
7,10,Rangifer tarandus,0.0003,0.00128,21,0,Rangifer tarandus,0.0,36740368922,Low / moderate risk,29.08.2003,5
8,11,Terathopius ecaudatus,0.0002,0.0019,27,0,Terathopius ecaudatus,0.0,210435370127300,Moderate / high risk,28.04.2017,3
9,16,Terathopius ecaudatus,0.0005,0.01566667,27,0,Terathopius ecaudatus,0.0,210435370127300,Moderate / high risk,28.04.2017,3
10,12,Lepus townsendii,0.00075,0.00386,22,1,Lepus townsendii,0.0,188703120510450,High risk,12.07.2011,12
11,115,Lepus townsendii,0.0001,0.00036667,22,1,Lepus townsendii,0.0,188703120510450,High risk,12.07.2011,12
12,14,Actophilornis africanus,0.00232174,0.01273913,23,1,Actophilornis africanus,0.0,272675524722,High risk,14.05.2007,26
13,31,Actophilornis africanus,0.0003,0.00098,23,1,Actophilornis africanus,0.0,272675524722,High risk,14.05.2007,26
14,72,Actophilornis africanus,0.00234667,0.0126,23,1,Actophilornis africanus,0.0,272675524722,High risk,14.05.2007,26
15,15,Petaurus breviceps,0.00303333,0.01144444,26,0,Petaurus breviceps,0.0,186494805556422,Moderate / high risk,09.04.2010,13
16,17,Felis wiedi or Leopardus weidi,0.00238235,0.01252941,28,1,Felis wiedi or Leopardus weidi,0.0,206670694,High risk,13.11.1997,19
17,19,Dicrostonyx groenlandicus,0.00264615,0.01388462,29,0,Dicrostonyx groenlandicus,1.0,197463014939188,Moderate risk,01.05.2014,18
18,69,Dicrostonyx groenlandicus,0.001,0.0035,29,0,Dicrostonyx groenlandicus,1.0,197463014939188,Moderate risk,01.05.2014,18
19,21,Halcyon smyrnesis,0.0002,0.00275,30,0,Halcyon smyrnesis,0.0,200109499869465,Moderate risk,09.12.2014,9
20,114,Halcyon smyrnesis,0.00027692,0.00163077,30,0,Halcyon smyrnesis,0.0,200109499869465,Moderate risk,09.12.2014,9
21,22,Hystrix cristata,0.001535,0.01075,54,1,Hystrix cristata,0.0,192291882972375,Moderate risk,26.11.2012,31
22,24,Podargus strigoides,0.0017,0.0115,55,0,Podargus strigoides,0.0,206670764,High risk,07.06.1995,7
