,Unnamed: 0,FUND,CNT,SRC_UID,EOM
0,0,Balearica pavonina,11,272729054236,2010-10-31
1,1,Echimys chrysurus,1147,537115818972,2010-10-31
2,2,Melophus lathami,2597,537945078883,2010-10-31
5,5,Psophia viridis,2154,206670770,2010-10-31
6,6,Alcelaphus buselaphus cokii,1855,181701414249,2010-10-31
7,7,Megaderma spasma,2940,206670742,2010-10-31
10,10,Crotaphytus collaris,974,323418458,2010-10-31
11,11,Nucifraga columbiana,68,40232932742,2010-10-31
12,12,Isoodon obesulus,1056,189669356346606,2010-10-31
13,13,Actophilornis africanus,1880,272675524722,2010-10-31
15,15,Litrocranius walleri,1060,880888590812,2010-10-31
16,16,Petaurus breviceps,436,186494805556422,2010-10-31
19,19,Choloepus hoffmani,1181,186267307833917,2010-10-31
20,20,Sarkidornis melanotos,2278,108219608754,2010-10-31
21,21,unavailable,299,206670773,2010-10-31
22,22,Eumetopias jubatus,33,1540205459539,2010-10-31
23,23,Lutra canadensis,1098,168720101925,2010-10-31
24,24,Centrocercus urophasianus,1242,324918516,2010-10-31
25,25,Falco peregrinus,1036,181989439245,2010-10-31
27,27,Choriotis kori,1785,27160283895,2010-10-31
28,28,Ceratotherium simum,1081,192290937586348,2010-10-31
29,29,Castor fiber,2218,206670747,2010-10-31
30,30,Plegadis falcinellus,4265,181703187068,2010-10-31
31,31,Ardea cinerea,1945,206670715,2010-10-31
32,32,Eolophus roseicapillus,1182,55902523917,2010-10-31
34,34,Macropus giganteus,400,206670810,2010-10-31
36,36,Isoodon obesulus,913,189669356346606,2010-10-31
37,37,Canis aureus,1062,206670716,2010-10-31
38,38,Milvus migrans,1091,275505523,2010-10-31
40,40,Varanus sp.,64,264126748256,2010-10-31
44,44,unavailable,2335,206670773,2010-10-31
45,45,Falco peregrinus,824,181989439245,2010-10-31
46,46,Canis mesomelas,9,105401395916,2010-10-31
47,47,Trachyphonus vaillantii,1521,898428021820,2010-10-31
48,48,Ourebia ourebi,2579,206670693,2010-10-31
49,49,Ephippiorhynchus mycteria,193,52079200642,2010-10-31
51,51,Bassariscus astutus,2317,1134069654772,2010-10-31
52,52,Falco mexicanus,32,577020561372,2010-10-31
53,53,Butorides striatus,2013,28283084613,2010-10-31
55,55,Lorythaixoides concolor,1230,206670771,2010-10-31
58,58,Amphibolurus barbatus,581,1489764652,2010-10-31
61,61,Cabassous sp.,1161,206670692,2010-10-31
62,62,Francolinus leucoscepus,622,78217981906,2010-10-31
63,63,Tauraco porphyrelophus,123,69174547266,2010-10-31
64,64,Hystrix cristata,383,192291882972375,2010-10-31
66,66,Chloephaga melanoptera,1730,573917296406,2010-10-31
67,67,Trachyphonus vaillantii,229,898428021820,2010-10-31
68,68,Eubalaena australis,1105,643851054259,2010-10-31
69,69,Laniaurius atrococcineus,1655,40234253942,2010-10-31
70,70,Hystrix indica,1339,189395860675734,2010-10-31
