,Unnamed: 0,SRC_UID,Asset Name,Product Strategy,IN (USD),OUT (USD),NET (USD),Quantity,AUM (USD),EOM
0,0,159639695489,Otaria flavescens,Coluber constrictor,29103109,-93690064,-64586955,9177525,1358142691,2010-01-31
1,1,206670715,Platalea leucordia,Meleagris gallopavo,47791110,-50280105,-2488995,2776232,1442730372,2010-01-31
2,2,218467165,Gyps bengalensis,Cyrtodactylus louisiadensis,1264075616,-1306119532,-42043917,6571149,6509574466,2010-01-31
3,3,108218606555,Anthropoides paradisea,Centrocercus urophasianus,1832972,-206616,1626356,334941,53714032,2010-01-31
4,4,525288498953,Ara chloroptera,Phascogale calura,8210720,-3740210,4470510,991486,115375029,2010-01-31
5,5,880886802006,Neotis denhami,Lycosa godeffroyi,21578338,-2521664,19056675,678637,112867974,2010-01-31
6,6,573917296406,Passer domesticus,Phascogale calura,0,0,0,590,68633,2010-01-31
7,7,206670716,Merops nubicus,Melanerpes erythrocephalus,81428163,-39268657,42159505,9157021,1255277376,2010-01-31
8,8,40234253942,Arctogalidia trivirgata,Ara chloroptera,11683683,-1770180,9913503,341931,353999348,2010-01-31
9,9,656760542396,Centrocercus urophasianus,Lamprotornis nitens,15249051,-3483468,11765582,645971,65202712,2010-01-31
10,10,38326395382,Myrmecophaga tridactyla,Cordylus giganteus,16057884,-5628676,10429208,1786418,218036641,2010-01-31
11,11,206670764,unavailable,Castor fiber,85971194,-30715768,55255426,1299774,615197125,2010-01-31
12,12,206670721,Bassariscus astutus,Gyps bengalensis,22818147,-42458649,-19640503,10662450,932569941,2010-01-31
13,13,275505523,unavailable,Numida meleagris,10208211,-19983097,-9774886,711793,393567668,2010-01-31
14,14,181704006762,Dromaeus novaehollandiae,Connochaetus taurinus,69135029,-50744698,18390331,16845786,1640963718,2010-01-31
15,15,115837413850,Crotaphytus collaris,Limnocorax flavirostra,3079386,-4273198,-1193813,1658227,158221972,2010-01-31
16,16,105401395916,Phalacrocorax carbo,Canis mesomelas,24051643,-11563604,12488038,1592037,142599177,2010-01-31
17,17,206670686,Lamprotornis nitens,Himantopus himantopus,4368774,-2405147,1963627,1436873,69213144,2010-01-31
18,18,168413682951,Bison bison,Lutra canadensis,26224293,-88607370,-62383078,5515604,845762852,2010-01-31
19,19,301519260,Pseudocheirus peregrinus,Bassariscus astutus,16691365,-14980208,1711157,890206,150466750,2010-01-31
20,20,207071895532,Funambulus pennati,Cyrtodactylus louisiadensis,8039907,-322412,7717495,1374487,100444858,2010-01-31
21,21,185770864373177,Ovibos moschatus,Anathana ellioti,16643487,-4186264,12457224,3363142,344951753,2010-01-31
22,22,206670689,Ara chloroptera,Cyrtodactylus louisiadensis,16629446,-44707245,-28076582,16129382,1627838699,2010-01-31
23,23,324918516,Ciconia episcopus,Centrocercus urophasianus,60626136,-49188367,11437769,1769125,361609590,2010-01-31
24,24,108219608754,Priodontes maximus,unavailable,18088718,-7239929,10848789,2430051,389726144,2010-01-31
25,25,409803252816,Loxodonta africana,Coluber constrictor,13450711,-14137731,-687020,941478,127620513,2010-01-31
26,26,206670691,Anser caerulescens,Oncorhynchus nerka,1412542,-1671469,-258926,1150109,111752408,2010-01-31
27,27,206670727,Lama pacos,Papilio canadensis,47573572,-3894679,43678893,462515,301917628,2010-01-31
28,28,206670698,Uraeginthus granatina,Phoca vitulina,5079020,-5968663,-889643,489175,261746049,2010-01-31
29,29,409790534092,Amblyrhynchus cristatus,Cyrtodactylus louisiadensis,2331326,-74416316,-72084990,568563,169456643,2010-01-31
30,30,206670760,Equus burchelli,Ara chloroptera,354135,-1565426,-1211291,148929,111167972,2010-01-31
31,31,63446153971,Cercatetus concinnus,Actophilornis africanus,24524972,-36551314,-12026342,2206523,270811734,2010-01-31
32,32,323418458,Isoodon obesulus,Limnocorax flavirostra,2342349,-5603186,-3260837,624548,251425763,2010-01-31
33,33,181703132840,Ninox superciliaris,Phascogale calura,529159,0,529159,21201,2991305,2010-01-31
34,34,206670739,Mellivora capensis,Melanerpes erythrocephalus,22152347,-10842071,11310276,12743346,1205706719,2010-01-31
35,35,1489765858,Dasyurus viverrinus,Gyps bengalensis,12039671,-4540367,7499305,727037,185728167,2010-01-31
36,36,182009288255,Corvus albicollis,Melanerpes erythrocephalus,14626638,-21157289,-6530651,1169858,137672797,2010-01-31
37,37,206670711,Alectura lathami,unavailable,22665009,-369529,22295480,71223,201910429,2010-01-31
38,38,218465821,Dromaeus novaehollandiae,Cyrtodactylus louisiadensis,1185245169,-1526477215,-341248414,6630872,6139308887,2010-01-31
39,39,108207596093,Isoodon obesulus,Cyrtodactylus louisiadensis,32856733,-50146400,-17289667,118857,124611490,2010-01-31
40,40,1451747082532,Ctenophorus ornatus,Cordylus giganteus,4962919,-9486,4953433,79595,8221081,2010-01-31
41,41,207934051132,Eolophus roseicapillus,Geococcyx californianus,9259487,-28243972,-18984486,1441662,136248522,2010-01-31
42,42,185750564133580,Aonyx cinerea,Anathana ellioti,15345305,-145929,15199375,686132,69263361,2010-01-31
43,43,757832579735,Estrilda erythronotos,Cyrtodactylus louisiadensis,223685052,-299664575,-75979523,2066771,2063670544,2010-01-31
44,44,108392362467,unavailable,unavailable,13134083,-24242245,-11108162,881196,140483058,2010-01-31
45,45,108384455273,Loris tardigratus,Mirounga leonina,11973384,-2805165,9168219,467083,55144450,2010-01-31
46,46,206670771,Butorides striatus,Pelecans onocratalus,13763583,-34484768,-20721185,1242849,420359734,2010-01-31
47,47,52079200642,Equus hemionus,Gyps bengalensis,7248172,-421549,6826623,391257,403487600,2010-01-31
48,48,880930580959,Echimys chrysurus,Cyrtodactylus louisiadensis,71184686,-120055481,-48870794,4455394,452577567,2010-01-31
49,49,40232932742,Ploceus rubiginosus,Pycnonotus nigricans,10721349,-6209355,4511994,337213,330208564,2010-01-31
50,50,1489764652,Nasua narica,Gyps bengalensis,126191749,-36992419,89199329,7105060,699609986,2010-01-31
51,51,205119942384,Pseudalopex gymnocercus,Falco peregrinus,1665979,-468344,1197634,230654,35123655,2010-01-31
52,52,206670746,Funambulus pennati,Ephippiorhynchus mycteria,0,-2697310,-2697310,0,0,2010-01-31
53,53,1134069654772,Centrocercus urophasianus,Ateles paniscus,31426544,-2200823,29225721,1062368,135568584,2010-01-31
54,54,168720101925,Pelecanus occidentalis,Lutra canadensis,8658234,-7893469,764765,2662992,430329049,2010-01-31
55,55,206670707,Alcelaphus buselaphus cokii,Mirounga leonina,3515016,-21569507,-18054491,358940,179534651,2010-01-31
56,56,755274358166,Columba palumbus,Cyrtodactylus louisiadensis,164365241,-266438652,-102073411,1060043,1475267961,2010-01-31
57,57,206670688,Dusicyon thous,Cyrtodactylus louisiadensis,69669121,-201496427,-131827305,5389079,706167185,2010-01-31
58,58,36740368922,Spermophilus armatus,Limnocorax flavirostra,6758247,-12019712,-5261465,314021,274615908,2010-01-31
59,59,55902523917,unavailable,Tiliqua scincoides,97045540,-20574845,76470695,4519257,978097666,2010-01-31
60,60,1540205570554,Bison bison,unavailable,1795946,-3339494,-1543548,166490,26003997,2010-01-31
61,61,206670690,Gazella granti,Cyrtodactylus louisiadensis,202390026,-307364725,-104974699,10521562,1985115530,2010-01-31
62,62,108193333943,Ara ararauna,Cyrtodactylus louisiadensis,12355309,-30900323,-18545014,178432,170238682,2010-01-31
63,63,537945078883,Heloderma horridum,Coluber constrictor,217775,-8088468,-7870693,547593,75426683,2010-01-31
64,64,206670719,Chlidonias leucopterus,Ictonyx striatus,1458692,-5736103,-4277411,1561952,145676909,2010-01-31
65,65,108392941183,Anas platyrhynchos,Cyrtodactylus louisiadensis,14166592,-38517246,-24350654,3256284,507274562,2010-01-31
66,66,1461078666,Macropus giganteus,Ictonyx striatus,7512351,-5054116,2458235,613845,110904270,2010-01-31
67,67,537115818972,Corvus albicollis,Coluber constrictor,2336,-412316,-409980,47800,6668113,2010-01-31
68,68,1521081543045,Zosterops pallidus,Lamprotornis chalybaeus,357009,-1226851,-869842,228485,9943390,2010-01-31
69,69,206670770,Thalasseus maximus,Crocuta crocuta,21889356,-26023556,-4134200,4621536,729119237,2010-01-31
70,70,218467153,Elephas maximus bengalensis,Cyrtodactylus louisiadensis,944544225,-945384278,-840054,3814696,5307910751,2010-01-31
71,71,455157311,Ursus maritimus,Cyrtodactylus louisiadensis,125969186,-101731092,24238093,562706,902905049,2010-01-31
72,72,577020561372,Canis mesomelas,Dasypus novemcinctus,173676,-9049832,-8876156,2418354,146197533,2010-01-31
73,73,206670692,Merops nubicus,Hymenolaimus malacorhynchus,20249383,-34279668,-14030285,2496745,200610888,2010-01-31
74,74,206670742,Macropus agilis,Megaderma spasma,102042547,-92619553,9422994,6295805,1835834420,2010-01-31
75,75,28283084613,Butorides striatus,Panthera leo persica,11678727,-14522115,-2843388,1272315,408998925,2010-01-31
76,76,78217981906,Ephipplorhynchus senegalensis,Hymenolaimus malacorhynchus,114139,-1472853,-1358714,122910,10482752,2010-01-31
77,77,40234001221,Drymarchon corias couperi,Ara chloroptera,5178147,-1147372,4030775,440309,463879110,2010-01-31
78,78,880880278933,Chlidonias leucopterus,Phascogale calura,58363219,-7830355,50532864,1273139,130296546,2010-01-31
79,79,638750702637,Cordylus giganteus,Pelecans onocratalus,42695079,-10088107,32606972,3028966,202524516,2010-01-31
80,80,880923451687,unavailable,Cyrtodactylus louisiadensis,116828124,-213069695,-96241571,11335274,1615108097,2010-01-31
81,81,898446858123,Paraxerus cepapi,Cyrtodactylus louisiadensis,1631295,-58785786,-57154491,2618815,372962846,2010-01-31
82,82,181989439245,Papio cynocephalus,Falco peregrinus,35762096,-6627269,29134827,1561413,237485028,2010-01-31
83,83,181701414249,Lutra canadensis,Phascogale calura,132888688,-6711437,126177252,3896940,490517235,2010-01-31
84,84,737766433094,Naja haje,Cyrtodactylus louisiadensis,56411405,-172482260,-116070855,1669033,1565216183,2010-01-31
85,85,460145818838,Grus canadensis,Bassariscus astutus,0,0,0,614,98870,2010-01-31
86,86,1320217138160,Phalacrocorax niger,Canis lupus lycaon,616761,-1200010,-583248,173846,19529972,2010-01-31
87,87,108218596431,Terrapene carolina,Phoca vitulina,680955,-2285184,-1604229,509672,74068648,2010-01-31
88,88,1540205459539,Eubalaena australis,unavailable,233547,-63566,169981,458165,72581045,2010-01-31
89,89,108202450315,Gyps bengalensis,Cyrtodactylus louisiadensis,61165716,-175577168,-114411452,453640,640391530,2010-01-31
90,90,206670722,Naja haje,unavailable,130725822,-68365827,62359995,7364961,1528479691,2010-01-31
91,91,272675524722,Sarcorhamphus papa,Actophilornis africanus,45292172,-21401734,23890438,9101692,713723720,2010-01-31
92,92,206670694,Melophus lathami,Felis wiedi or Leopardus weidi,3065964,-1261994,1803970,464076,51257981,2010-01-31
93,93,27160283895,Phalacrocorax niger,unavailable,67376350,-52468346,14908004,7387512,1155182690,2010-01-31
94,94,69174547266,Varanus albigularis,Galago crassicaudataus,346537,0,346537,23616,23484529,2010-01-31
95,95,898428021820,Ovis ammon,Morelia spilotes variegata,61620,0,61620,13318,1375938,2010-01-31
96,96,206670693,Acridotheres tristis,Choloepus hoffmani,248439721,-173805132,74634588,5987655,1476852491,2010-01-31
97,97,181703385384,Aonyx capensis,Phascogale calura,34829440,-891615,33937825,1104636,187047449,2010-01-31
