,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU
0,880923451687,31.07.2019,0.4083,GERMANY,Eurozone
1,219007141108021,31.07.2019,0.2169,U.S.A.,US
2,1461078666,30.11.2018,0.2297,SWITZERLAND,Switzerland
3,189669396589741,30.11.2018,0.1864,CHINA,China
4,206670719,30.11.2018,0.9729,SWITZERLAND,Switzerland
5,52079200642,31.12.2018,0.6121,U.S.A.,US
6,195788173009015,31.05.2019,0.2029,U.S.A.,US
7,206670722,31.05.2019,0.2083,U.S.A.,US
8,216437580763800,31.01.2019,0.0848,CHINA,China
9,195667467951412,31.01.2019,0.1224,ITALY,Eurozone
10,219007141108020,31.07.2019,0.1533,U.S.A.,US
11,27160283895,31.05.2019,0.1647,ITALY,Eurozone
12,186761292782742,31.05.2019,0.3206,U.S.A.,US
13,38326395382,31.05.2019,0.8503,U.S.A.,US
14,218467165,30.09.2019,0.2014,FRANCE,Eurozone
15,168413682951,31.07.2019,0.2471,ITALY,Eurozone
16,189669305873243,31.07.2019,0.0935,JAPAN,Japan
17,301519260,31.07.2019,0.1993,JAPAN,Japan
18,206670707,31.07.2019,0.8852,U.S.A.,US
19,23847120402,31.07.2019,0.2121,U.S.A.,US
20,755274358166,31.07.2019,0.4057,GERMANY,Eurozone
21,737766433094,31.07.2019,0.718,SWITZERLAND,Switzerland
22,955744138585,31.07.2019,0.386,U.S.A.,US
23,438684047,31.07.2019,0.1822,JAPAN,Japan
24,186267307833917,31.07.2019,0.2347,ITALY,Eurozone
25,301519260,30.09.2018,0.2024,JAPAN,Japan
26,206670698,30.09.2018,0.1639,FRANCE,Eurozone
27,757832579735,31.07.2019,0.3798,GERMANY,Eurozone
28,880930580959,31.07.2019,0.3243,GERMANY,Eurozone
29,438677131,31.12.2018,0.6251,U.S.A.,US
30,192290937586348,31.12.2018,0.597,U.S.A.,US
31,195257191859232,31.12.2018,1.0012,JAPAN,Japan
32,275505523,31.12.2018,0.3053,UNITED KINGDOM,UK
33,92221420384,31.12.2018,0.5479,U.S.A.,US
34,206670770,31.12.2018,0.4072,CHINA,China
35,638750702637,31.12.2018,0.9484,RUSSIA,World
36,192291882972375,30.11.2018,0.091,BRAZIL,Latin America
37,197500691926156,30.11.2018,0.1352,CHINA,China
38,217460154273800,30.11.2018,0.3198,CHINA,China
39,206670693,30.09.2018,0.0605,NIGERIA,EMEA
40,181703187068,30.09.2018,0.0984,BRAZIL,Latin America
41,181701414249,30.09.2018,0.1953,SINGAPORE,Emerging Asia (ex-China)
42,525288498953,30.09.2018,0.4582,BRAZIL,Latin America
43,192291882972375,30.09.2018,0.0945,CHINA,China
44,197500691926156,30.09.2018,0.1307,CHINA,China
45,55902523917,31.03.2010,0.165,CHINA,China
46,437983596250,31.05.2010,0.9329999999999999,SWITZERLAND,Switzerland
47,413976258580,31.05.2010,0.521,U.S.A.,US
48,275505523,31.03.2010,0.27,UNITED KINGDOM,UK
49,108392384369,31.03.2010,0.11599999999999999,RUSSIA,World
50,613346505712,31.05.2010,0.654,AUSTRALIA,Australia
51,323418458,31.07.2010,0.162,U.S.A.,US
52,577020561372,31.07.2010,0.385,U.S.A.,US
53,369592842106,30.06.2010,0.512,U.S.A.,US
54,206670693,31.07.2010,0.114,BRAZIL,Latin America
55,206670715,31.12.2018,0.3381,CHINA,China
56,28283084613,31.12.2018,0.6267,CHINA,China
57,189669356346606,31.12.2018,0.2798,CHINA,China
58,207934051132,31.03.2019,0.7581,U.S.A.,US
59,105401395916,31.03.2019,0.4646,U.S.A.,US
60,203221423898215,31.03.2019,0.6231,U.S.A.,US
61,455157311,31.07.2019,0.2211,FRANCE,Eurozone
62,217460154273800,30.06.2019,0.3189,CHINA,China
63,656760542396,31.03.2019,0.4937,U.S.A.,US
64,186711785308213,31.05.2019,0.5798,U.S.A.,US
65,206670742,31.05.2019,0.8599,U.S.A.,US
66,1134069654772,31.05.2019,0.5799,U.S.A.,US
67,755274358166,30.09.2019,0.4016,GERMANY,Eurozone
68,217460154273800,30.09.2019,0.3146,CHINA,China
69,192291882972375,30.09.2019,0.1127,BRAZIL,Latin America
70,197500691926156,30.09.2019,0.1236,CHINA,China
71,218467153,31.10.2019,0.1461,SWITZERLAND,Switzerland
72,206670688,31.10.2019,0.1857,FRANCE,Eurozone
73,206670689,31.10.2019,0.2579,FRANCE,Eurozone
74,206670764,31.12.2018,0.5713,RUSSIA,World
75,208033650897500,31.05.2019,0.6344,U.S.A.,US
76,880886802006,31.05.2019,0.3981,U.S.A.,US
77,63446153971,31.05.2019,0.7462,U.S.A.,US
78,108193333943,31.10.2019,0.191,FRANCE,Eurozone
79,186761292782742,31.10.2019,0.2726,U.S.A.,US
80,206670727,31.12.2018,0.2386,UNITED KINGDOM,UK
81,1489765858,31.12.2018,0.5566,AUSTRALIA,Australia
82,188703129863464,31.12.2018,0.9988,RUSSIA,World
83,269287883541,31.12.2018,0.9991,JAPAN,Japan
84,413976258580,31.12.2018,0.6313,U.S.A.,US
85,613346505712,31.12.2018,0.5559,AUSTRALIA,Australia
86,196843241101444,31.12.2018,0.6318,U.S.A.,US
87,182009288255,31.12.2018,0.3393,FRANCE,Eurozone
88,525288498953,31.01.2019,0.4473,BRAZIL,Latin America
89,206670693,31.01.2019,0.065,INDONESIA,Emerging Asia (ex-China)
90,181701414249,31.01.2019,0.2009,INDONESIA,Emerging Asia (ex-China)
91,181703187068,31.01.2019,0.0924,MEXICO,Latin America
92,207934051132,28.02.2019,0.7337,U.S.A.,US
93,880886802006,28.02.2019,0.3929,U.S.A.,US
94,208033650897500,28.02.2019,0.6492,U.S.A.,US
95,272675524722,31.05.2019,0.5676,U.S.A.,US
96,186759829869822,31.05.2019,0.5317,U.S.A.,US
97,206670723,31.05.2019,0.6174,U.S.A.,US
98,206670694,31.05.2019,0.5551,U.S.A.,US
99,207934051132,31.05.2019,0.7485,U.S.A.,US
100,105401395916,31.05.2019,0.4286,U.S.A.,US
101,216437580763800,31.08.2019,0.2042,GERMANY,Eurozone
102,195667467951412,31.08.2019,0.2278,U.S.A.,US
103,206670719,31.12.2018,0.953,SWITZERLAND,Switzerland
104,1477794168859,31.12.2018,0.299,CHINA,China
105,194188765697875,31.12.2018,0.2904,UNITED KINGDOM,UK
106,196842445088146,31.12.2018,0.632,U.S.A.,US
107,269297001426,31.12.2018,0.9428,U.S.A.,US
108,186711785308213,28.02.2019,0.5879,U.S.A.,US
109,206670742,28.02.2019,0.8622,U.S.A.,US
110,272675524722,28.02.2019,0.5863,U.S.A.,US
111,63446153971,28.02.2019,0.8417,U.S.A.,US
112,206670723,28.02.2019,0.5702,U.S.A.,US
113,324918516,31.03.2019,0.1823,ITALY,Eurozone
114,189669225079108,31.03.2019,0.1418,UNITED KINGDOM,UK
115,203221423898215,31.05.2019,0.6424,U.S.A.,US
116,656760542396,31.05.2019,0.5117,U.S.A.,US
117,737766433094,30.06.2019,0.5724,SWITZERLAND,Switzerland
118,455157311,30.06.2019,0.2731,FRANCE,Eurozone
119,206670716,31.12.2018,0.2503,UNITED KINGDOM,UK
120,55902523917,31.12.2018,0.2979,CHINA,China
121,269289662016,31.12.2018,0.2907,UNITED KINGDOM,UK
122,1134069654772,28.02.2019,0.5833,U.S.A.,US
123,105401395916,28.02.2019,0.4454,U.S.A.,US
124,656760542396,28.02.2019,0.4782,U.S.A.,US
125,203221423898215,28.02.2019,0.643,U.S.A.,US
