,Unnamed: 0,MULTI_MANAGER_STRUCTURE,NAME,SOFTCLOSING,SRC_UID,RISK_LEVEL,DATE_SHARE,CNT_SHARE
0,0,0,Balearica pavonina,0.0,272729054236,Moderate risk,23.07.2007,5
1,1,0,Gekko gecko,0.0,263027932466,Low / moderate risk,22.01.2007,5
3,3,0,Lepilemur rufescens,0.0,264126823354,Low / moderate risk,22.01.2007,2
5,5,0,Echimys chrysurus,0.0,537115818972,Low / moderate risk,31.10.2007,13
7,7,0,Melophus lathami,0.0,537945078883,Moderate risk,31.10.2007,14
9,9,0,Boa constrictor mexicana,1.0,198188413318323,Moderate risk,03.07.2014,11
10,10,0,Psophia viridis,0.0,206670770,High risk,27.04.2000,13
11,11,1,Alcelaphus buselaphus cokii,0.0,181701414249,Moderate risk,26.06.2006,18
13,13,0,Antidorcas marsupialis,0.0,206670757,Moderate / high risk,08.12.1994,4
14,14,0,Hystrix indica,0.0,189395860675734,High risk,03.11.2011,11
15,15,0,Megaderma spasma,0.0,206670742,High risk,30.11.1995,14
16,16,1,Marmota flaviventris,0.0,188703102004066,High risk,12.07.2011,10
17,17,0,Dicrurus adsimilis,0.0,188703124648158,High risk,12.07.2011,9
18,18,1,Crotaphytus collaris,0.0,323418458,Low / moderate risk,10.02.1992,8
20,20,0,Nucifraga columbiana,0.0,40232932742,Low / moderate risk,06.11.2003,7
21,21,0,Rangifer tarandus,0.0,36740368922,Low / moderate risk,29.08.2003,5
22,22,1,Lepus townsendii,0.0,188703120510450,High risk,12.07.2011,12
23,23,1,Actophilornis africanus,0.0,272675524722,High risk,14.05.2007,26
24,24,0,unavailable,0.0,206670773,Moderate / high risk,04.12.1996,6
25,25,0,Litrocranius walleri,0.0,880888590812,Moderate / high risk,29.01.2010,18
26,26,0,Petaurus breviceps,0.0,186494805556422,Moderate / high risk,09.04.2010,13
27,27,0,Terathopius ecaudatus,0.0,210435370127300,Moderate / high risk,28.04.2017,3
28,28,1,Felis wiedi or Leopardus weidi,0.0,206670694,High risk,13.11.1997,19
