Hteam,Ateam,1,N,2,Result,TeamH,TeamA
Man United,Leicester,1.57,3.9,7.5,H,19.0,16.0
Man United,Leicester,1.57,3.8,6.0,H,19.0,16.0
Man United,Leicester,1.57,4.0,7.0,H,19.0,16.0
Man United,Leicester,1.6,4.2,8.05,H,19.0,16.0
Man United,Leicester,1.56,3.92,7.06,H,19.0,16.0
Bournemouth,Cardiff,1.9,3.6,4.5,H,6.0,9.0
Bournemouth,Cardiff,1.91,3.5,4.0,H,6.0,9.0
Bournemouth,Cardiff,1.87,3.6,4.75,H,6.0,9.0
Bournemouth,Cardiff,1.93,3.71,4.75,H,6.0,9.0
Bournemouth,Cardiff,1.88,3.53,4.37,H,6.0,9.0
Fulham,Crystal Palace,2.5,3.4,3.0,A,13.0,11.0
Fulham,Crystal Palace,2.45,3.3,2.8,A,13.0,11.0
Fulham,Crystal Palace,2.5,3.4,3.0,A,13.0,11.0
Fulham,Crystal Palace,2.6,3.49,3.05,A,13.0,11.0
Fulham,Crystal Palace,2.47,3.35,2.92,A,13.0,11.0
Huddersfield,Chelsea,6.5,4.0,1.61,A,14.0,10.0
Huddersfield,Chelsea,5.8,3.9,1.57,A,14.0,10.0
Huddersfield,Chelsea,6.5,4.0,1.62,A,14.0,10.0
Huddersfield,Chelsea,6.85,4.07,1.66,A,14.0,10.0
Huddersfield,Chelsea,6.09,3.9,1.61,A,14.0,10.0
Newcastle,Tottenham,3.9,3.5,2.04,A,21.0,30.0
Newcastle,Tottenham,3.8,3.2,2.05,A,21.0,30.0
Newcastle,Tottenham,3.9,3.4,2.1,A,21.0,30.0
Newcastle,Tottenham,4.01,3.57,2.12,A,21.0,30.0
Newcastle,Tottenham,3.83,3.4,2.05,A,21.0,30.0
Watford,Brighton,2.37,3.2,3.4,H,31.0,7.0
Watford,Brighton,2.38,3.0,3.3,H,31.0,7.0
Watford,Brighton,2.4,3.2,3.4,H,31.0,7.0
Watford,Brighton,2.48,3.3,3.42,H,31.0,7.0
Watford,Brighton,2.36,3.14,3.31,H,31.0,7.0
