Hteam,Ateam,Month,1,N,2,Result,TeamH,TeamA
Man United,Leicester,10,1.57,3.9,7.5,H,19.0,16.0
Man United,Leicester,10,1.53,4.0,7.5,H,19.0,16.0
Man United,Leicester,10,1.55,3.8,7.0,H,19.0,16.0
Man United,Leicester,10,1.57,3.8,6.0,H,19.0,16.0
Man United,Leicester,10,1.57,4.0,7.0,H,19.0,16.0
Man United,Leicester,10,1.6,4.2,8.05,H,19.0,16.0
Man United,Leicester,10,1.56,3.92,7.06,H,19.0,16.0
Bournemouth,Cardiff,11,1.9,3.6,4.5,H,6.0,9.0
Bournemouth,Cardiff,11,1.9,3.4,4.4,H,6.0,9.0
Bournemouth,Cardiff,11,1.9,3.5,4.1,H,6.0,9.0
Bournemouth,Cardiff,11,1.91,3.5,4.0,H,6.0,9.0
Bournemouth,Cardiff,11,1.87,3.6,4.75,H,6.0,9.0
Bournemouth,Cardiff,11,1.93,3.71,4.75,H,6.0,9.0
Bournemouth,Cardiff,11,1.88,3.53,4.37,H,6.0,9.0
Fulham,Crystal Palace,11,2.5,3.4,3.0,A,13.0,11.0
Fulham,Crystal Palace,11,2.45,3.3,2.95,A,13.0,11.0
Fulham,Crystal Palace,11,2.4,3.3,2.95,A,13.0,11.0
Fulham,Crystal Palace,11,2.45,3.3,2.8,A,13.0,11.0
Fulham,Crystal Palace,11,2.5,3.4,3.0,A,13.0,11.0
Fulham,Crystal Palace,11,2.6,3.49,3.05,A,13.0,11.0
Fulham,Crystal Palace,11,2.47,3.35,2.92,A,13.0,11.0
Huddersfield,Chelsea,11,6.5,4.0,1.61,A,14.0,10.0
Huddersfield,Chelsea,11,6.25,3.9,1.57,A,14.0,10.0
Huddersfield,Chelsea,11,6.2,4.0,1.55,A,14.0,10.0
Huddersfield,Chelsea,11,5.8,3.9,1.57,A,14.0,10.0
Huddersfield,Chelsea,11,6.5,4.0,1.62,A,14.0,10.0
Huddersfield,Chelsea,11,6.85,4.07,1.66,A,14.0,10.0
Huddersfield,Chelsea,11,6.09,3.9,1.61,A,14.0,10.0
Newcastle,Tottenham,11,3.9,3.5,2.04,A,21.0,30.0
Newcastle,Tottenham,11,3.8,3.5,2.0,A,21.0,30.0
Newcastle,Tottenham,11,3.7,3.35,2.05,A,21.0,30.0
Newcastle,Tottenham,11,3.8,3.2,2.05,A,21.0,30.0
Newcastle,Tottenham,11,3.9,3.4,2.1,A,21.0,30.0
Newcastle,Tottenham,11,4.01,3.57,2.12,A,21.0,30.0
Newcastle,Tottenham,11,3.83,3.4,2.05,A,21.0,30.0
Watford,Brighton,11,2.37,3.2,3.4,H,31.0,7.0
Watford,Brighton,11,2.35,3.1,3.3,H,31.0,7.0
Watford,Brighton,11,2.2,3.3,3.4,H,31.0,7.0
Watford,Brighton,11,2.38,3.0,3.3,H,31.0,7.0
Watford,Brighton,11,2.4,3.2,3.4,H,31.0,7.0
Watford,Brighton,11,2.48,3.3,3.42,H,31.0,7.0
Watford,Brighton,11,2.36,3.14,3.31,H,31.0,7.0
Wolves,Everton,11,2.37,3.3,3.3,D,35.0,12.0
Wolves,Everton,11,2.35,3.2,3.2,D,35.0,12.0
Wolves,Everton,11,2.25,3.35,3.2,D,35.0,12.0
Wolves,Everton,11,2.3,3.2,3.2,D,35.0,12.0
Wolves,Everton,11,2.38,3.3,3.3,D,35.0,12.0
Wolves,Everton,11,2.41,3.4,3.4,D,35.0,12.0
Wolves,Everton,11,2.33,3.27,3.23,D,35.0,12.0
Arsenal,Man City,12,4.0,3.8,1.95,A,0.0,18.0
Arsenal,Man City,12,3.7,3.75,1.95,A,0.0,18.0
Arsenal,Man City,12,3.6,3.6,2.0,A,0.0,18.0
Arsenal,Man City,12,3.8,3.8,1.91,A,0.0,18.0
Arsenal,Man City,12,3.9,4.0,1.91,A,0.0,18.0
Arsenal,Man City,12,4.15,4.0,2.0,A,0.0,18.0
Arsenal,Man City,12,3.83,3.8,1.92,A,0.0,18.0
Liverpool,West Ham,12,1.25,6.5,14.0,H,17.0,33.0
Liverpool,West Ham,12,1.2,6.75,14.0,H,17.0,33.0
Liverpool,West Ham,12,1.25,6.1,11.0,H,17.0,33.0
Liverpool,West Ham,12,1.25,5.5,12.0,H,17.0,33.0
Liverpool,West Ham,12,1.25,6.5,13.0,H,17.0,33.0
Liverpool,West Ham,12,1.29,6.79,15.0,H,17.0,33.0
Liverpool,West Ham,12,1.25,6.22,12.3,H,17.0,33.0
Southampton,Burnley,12,1.85,3.5,5.0,D,26.0,8.0
Southampton,Burnley,12,1.8,3.5,4.75,D,26.0,8.0
Southampton,Burnley,12,1.8,3.6,4.5,D,26.0,8.0
Southampton,Burnley,12,1.83,3.25,4.8,D,26.0,8.0
Southampton,Burnley,12,1.85,3.4,5.2,D,26.0,8.0
Southampton,Burnley,12,1.9,3.61,5.2,D,26.0,8.0
Southampton,Burnley,12,1.84,3.43,4.8,D,26.0,8.0
Cardiff,Newcastle,8,3.25,3.1,2.54,D,9.0,21.0
Cardiff,Newcastle,8,3.1,3.1,2.45,D,9.0,21.0
Cardiff,Newcastle,8,2.9,3.2,2.5,D,9.0,21.0
Cardiff,Newcastle,8,3.1,3.0,2.45,D,9.0,21.0
Cardiff,Newcastle,8,3.25,3.1,2.55,D,9.0,21.0
Cardiff,Newcastle,8,3.25,3.21,2.6,D,9.0,21.0
Cardiff,Newcastle,8,3.14,3.07,2.5,D,9.0,21.0
Chelsea,Arsenal,8,1.8,4.0,4.5,H,10.0,0.0
Chelsea,Arsenal,8,1.78,3.8,4.5,H,10.0,0.0
Chelsea,Arsenal,8,1.8,3.8,4.2,H,10.0,0.0
Chelsea,Arsenal,8,1.83,3.75,4.0,H,10.0,0.0
Chelsea,Arsenal,8,1.8,4.0,4.5,H,10.0,0.0
Chelsea,Arsenal,8,1.87,4.02,4.54,H,10.0,0.0
Chelsea,Arsenal,8,1.81,3.85,4.29,H,10.0,0.0
Everton,Southampton,8,1.9,3.5,4.75,H,12.0,26.0
Everton,Southampton,8,1.91,3.3,4.5,H,12.0,26.0
Everton,Southampton,8,2.0,3.25,4.0,H,12.0,26.0
Everton,Southampton,8,1.91,3.4,4.0,H,12.0,26.0
Everton,Southampton,8,1.91,3.5,4.6,H,12.0,26.0
Everton,Southampton,8,2.0,3.63,4.78,H,12.0,26.0
Everton,Southampton,8,1.89,3.44,4.41,H,12.0,26.0
Leicester,Wolves,8,2.04,3.5,3.9,H,16.0,35.0
Leicester,Wolves,8,2.0,3.5,3.8,H,16.0,35.0
Leicester,Wolves,8,2.1,3.3,3.6,H,16.0,35.0
Leicester,Wolves,8,2.05,3.4,3.6,H,16.0,35.0
Leicester,Wolves,8,2.05,3.5,4.0,H,16.0,35.0
Leicester,Wolves,8,2.12,3.61,4.0,H,16.0,35.0
Leicester,Wolves,8,2.05,3.44,3.77,H,16.0,35.0
Tottenham,Fulham,8,1.28,6.0,12.0,H,30.0,13.0
Tottenham,Fulham,8,1.28,6.0,10.0,H,30.0,13.0
Tottenham,Fulham,8,1.27,6.0,10.0,H,30.0,13.0
Tottenham,Fulham,8,1.25,6.0,10.0,H,30.0,13.0
Tottenham,Fulham,8,1.29,6.0,12.0,H,30.0,13.0
Tottenham,Fulham,8,1.31,6.5,12.61,H,30.0,13.0
Tottenham,Fulham,8,1.28,5.88,10.92,H,30.0,13.0
West Ham,Bournemouth,8,2.1,3.6,3.7,A,33.0,6.0
West Ham,Bournemouth,8,2.1,3.3,3.75,A,33.0,6.0
West Ham,Bournemouth,8,2.05,3.55,3.55,A,33.0,6.0
West Ham,Bournemouth,8,2.05,3.6,3.4,A,33.0,6.0
West Ham,Bournemouth,8,2.1,3.6,3.7,A,33.0,6.0
West Ham,Bournemouth,8,2.15,3.67,3.75,A,33.0,6.0
West Ham,Bournemouth,8,2.08,3.53,3.56,A,33.0,6.0
Brighton,Man United,8,5.5,3.6,1.75,H,7.0,19.0
Brighton,Man United,8,5.5,3.6,1.7,H,7.0,19.0
Brighton,Man United,8,5.1,3.5,1.75,H,7.0,19.0
Brighton,Man United,8,4.8,3.6,1.75,H,7.0,19.0
Brighton,Man United,8,5.5,3.6,1.75,H,7.0,19.0
Brighton,Man United,8,5.52,3.62,1.84,H,7.0,19.0
Brighton,Man United,8,5.19,3.53,1.76,H,7.0,19.0
Burnley,Watford,8,2.45,3.1,3.4,A,8.0,31.0
Burnley,Watford,8,2.4,3.1,3.2,A,8.0,31.0
Burnley,Watford,8,2.4,3.1,3.15,A,8.0,31.0
Burnley,Watford,8,2.38,3.0,3.25,A,8.0,31.0
Burnley,Watford,8,2.4,3.1,3.5,A,8.0,31.0
Burnley,Watford,8,2.5,3.18,3.5,A,8.0,31.0
Burnley,Watford,8,2.39,3.04,3.34,A,8.0,31.0
Man City,Huddersfield,8,1.1,13.0,26.0,H,18.0,14.0
Man City,Huddersfield,8,1.07,12.0,31.0,H,18.0,14.0
Man City,Huddersfield,8,1.08,10.5,29.0,H,18.0,14.0
Man City,Huddersfield,8,1.06,12.0,29.0,H,18.0,14.0
Man City,Huddersfield,8,1.06,13.0,34.0,H,18.0,14.0
Man City,Huddersfield,8,1.11,13.0,35.0,H,18.0,14.0
Man City,Huddersfield,8,1.09,11.35,28.36,H,18.0,14.0
Crystal Palace,Liverpool,8,7.0,5.0,1.44,A,11.0,17.0
Crystal Palace,Liverpool,8,6.75,4.75,1.44,A,11.0,17.0
Crystal Palace,Liverpool,8,7.0,4.5,1.45,A,11.0,17.0
Crystal Palace,Liverpool,8,6.0,4.75,1.44,A,11.0,17.0
Crystal Palace,Liverpool,8,7.0,5.0,1.45,A,11.0,17.0
Crystal Palace,Liverpool,8,7.35,5.11,1.49,A,11.0,17.0
Crystal Palace,Liverpool,8,6.79,4.83,1.44,A,11.0,17.0
Arsenal,West Ham,8,1.36,5.5,9.0,H,0.0,33.0
Arsenal,West Ham,8,1.36,5.25,7.75,H,0.0,33.0
Arsenal,West Ham,8,1.4,4.8,7.5,H,0.0,33.0
Arsenal,West Ham,8,1.36,5.0,7.5,H,0.0,33.0
Arsenal,West Ham,8,1.36,5.5,9.0,H,0.0,33.0
Arsenal,West Ham,8,1.4,5.72,9.5,H,0.0,33.0
Arsenal,West Ham,8,1.37,5.32,8.1,H,0.0,33.0
Bournemouth,Everton,8,2.62,3.6,2.75,D,6.0,12.0
Bournemouth,Everton,8,2.6,3.4,2.7,D,6.0,12.0
Bournemouth,Everton,8,2.55,3.5,2.65,D,6.0,12.0
Bournemouth,Everton,8,2.5,3.6,2.62,D,6.0,12.0
Bournemouth,Everton,8,2.6,3.6,2.75,D,6.0,12.0
Bournemouth,Everton,8,2.69,3.6,2.81,D,6.0,12.0
Bournemouth,Everton,8,2.59,3.49,2.7,D,6.0,12.0
Huddersfield,Cardiff,8,2.37,3.0,3.7,D,14.0,9.0
Huddersfield,Cardiff,8,2.25,3.1,3.5,D,14.0,9.0
Huddersfield,Cardiff,8,2.3,3.0,3.55,D,14.0,9.0
Huddersfield,Cardiff,8,2.3,3.1,3.3,D,14.0,9.0
Huddersfield,Cardiff,8,2.38,3.1,3.6,D,14.0,9.0
Huddersfield,Cardiff,8,2.4,3.18,3.7,D,14.0,9.0
Huddersfield,Cardiff,8,2.32,3.04,3.53,D,14.0,9.0
Liverpool,Brighton,8,1.16,8.5,19.0,H,17.0,7.0
Liverpool,Brighton,8,1.16,7.5,17.5,H,17.0,7.0
Liverpool,Brighton,8,1.15,7.9,18.0,H,17.0,7.0
Liverpool,Brighton,8,1.15,8.0,17.0,H,17.0,7.0
Liverpool,Brighton,8,1.15,8.5,23.0,H,17.0,7.0
