0,uuid,filename,original_filename,date,description,title,keywords,albums,persons,path,ismissing,hasadjustments,external_edit,favorite,hidden,shared,latitude,longitude,path_edited,isphoto,ismovie,uti,burst,live_photo,path_live_photo,iscloudasset,incloud,date_modified,portrait,screenshot,slow_mo,time_lapse,hdr,selfie,panorama,has_raw,uti_raw,path_raw,intrash,
1,29430E39-9BBD-415E-B7E9-91DD5EC46966,29430E39-9BBD-415E-B7E9-91DD5EC46966.mov,IMG_0496.MOV,2013-06-23T22:42:24+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.167301177978516,6.117099761962891,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
2,86955496-97CA-43F2-B9A5-6C645E294BA9,86955496-97CA-43F2-B9A5-6C645E294BA9.mov,IMG_1645.MOV,2013-11-19T11:44:25+01:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.17250061035156,6.109899997711182,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
3,68431417-BD6C-4D9B-8D05-0B238114593E,68431417-BD6C-4D9B-8D05-0B238114593E.mov,IMG_0773.MOV,2013-08-02T22:29:27+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.20069885253906,6.152100086212158,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
4,86DB5E61-EF57-4CC5-A44D-A38C89A7BBC7,86DB5E61-EF57-4CC5-A44D-A38C89A7BBC7.mov,IMG_0402.MOV,2013-06-14T23:02:39+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.16709899902344,6.117099761962891,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
5,EE0AD970-0D28-411B-A4BF-0C8540616374,EE0AD970-0D28-411B-A4BF-0C8540616374.mov,IMG_0610.MOV,2013-07-13T21:46:11+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.155601501464844,6.095900058746338,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
6,E9292AA5-97C9-45CA-B84D-5AE1598D8A0F,E9292AA5-97C9-45CA-B84D-5AE1598D8A0F.mov,IMG_0525.MOV,2013-06-28T23:39:09+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.166900634765625,6.117300033569336,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
7,AB5C993E-8E33-411F-8A5F-2C678D083CDF,AB5C993E-8E33-411F-8A5F-2C678D083CDF.mov,IMG_2622.MOV,2014-02-14T16:01:34+01:00,,,,19 avr. 2013,,,True,False,False,False,False,False,,,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
8,EAE9186D-5783-4572-BB1A-8DD55D4EE3C0,EAE9186D-5783-4572-BB1A-8DD55D4EE3C0.mov,IMG_0816.MOV,2013-08-06T15:18:48+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.14759826660156,5.970099925994873,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
9,E3BE8B0C-7EF6-49D1-AA9B-BF6154D9D47E,E3BE8B0C-7EF6-49D1-AA9B-BF6154D9D47E.mov,IMG_3310.MOV,2014-06-27T18:06:18+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.14699935913086,5.9710001945495605,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
10,F41FEBF2-3280-4065-AFB7-EFC2BF91243A,F41FEBF2-3280-4065-AFB7-EFC2BF91243A.mov,IMG_0502.MOV,2013-06-24T22:55:20+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.155601501464844,6.095699787139893,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
11,4294C94C-548F-4DA5-8F96-9C4F40865FFB,4294C94C-548F-4DA5-8F96-9C4F40865FFB.mov,IMG_1977.mov,2013-12-11T20:52:36+01:00,,,,19 avr. 2013,,,True,False,False,False,False,False,,,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
12,1EC728F4-6A74-49D0-BAAC-16C419C4B627,1EC728F4-6A74-49D0-BAAC-16C419C4B627.mov,IMG_0809.MOV,2013-08-06T13:20:37+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.147701263427734,5.970200061798096,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
13,904C27C8-6CA8-444B-8FC1-ED293A29520D,904C27C8-6CA8-444B-8FC1-ED293A29520D.mov,IMG_2665.MOV,2014-02-22T02:02:32+01:00,,,,19 avr. 2013,,,True,False,False,False,False,False,,,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
14,158C5D70-A143-4860-81CB-F2F5B67CEE99,158C5D70-A143-4860-81CB-F2F5B67CEE99.mov,P1020129.MOV,2014-06-09T15:09:54+02:00,,,austria,"""8 juin 2013"," 2014 June Austria Trip""",,,True,False,False,False,False,False,48.23540115356445,16.4143009185791,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True
15,EA10AC4B-12A5-43EF-8431-9F868B1E4145,EA10AC4B-12A5-43EF-8431-9F868B1E4145.mov,IMG_2740.MOV,2014-07-26T14:37:14+02:00,,,,23 juil. 2014,,,True,False,False,False,False,False,,,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
16,027EF68E-E9E1-4D12-BEE9-BBF141B83266,027EF68E-E9E1-4D12-BEE9-BBF141B83266.mov,IMG_0591.MOV,2013-07-10T22:33:53+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,38.801300048828125,16.213600158691406,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
17,9F9FA0BB-AC0B-400D-BDC3-92EEE7D4889D,9F9FA0BB-AC0B-400D-BDC3-92EEE7D4889D.mov,IMG_3316.MOV,2014-07-05T06:03:23+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,,,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
18,A2456F9C-F4FB-4E18-8190-CA444ABBC41D,A2456F9C-F4FB-4E18-8190-CA444ABBC41D.mov,IMG_2709.MOV,2014-03-02T02:38:00+01:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.172000885009766,6.109499931335449,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
19,78903C17-E576-4E22-AB8B-A958A6CDE72F,78903C17-E576-4E22-AB8B-A958A6CDE72F.mov,IMG_0817.MOV,2013-08-06T15:19:15+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.147701263427734,5.970099925994873,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
20,EF469FA0-CEC7-423B-BD23-4ED17A9386CD,EF469FA0-CEC7-423B-BD23-4ED17A9386CD.mov,IMG_0734.MOV,2013-07-29T23:01:23+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.20439910888672,6.152699947357178,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
21,7EE961BF-E39F-4CF2-912A-D8A0CBB1FC25,7EE961BF-E39F-4CF2-912A-D8A0CBB1FC25.mov,IMG_3290.MOV,2014-06-20T15:54:54+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.20209884643555,6.146399974822998,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
22,1A07986C-7E97-457D-ADC9-F9E09A7CD79E,1A07986C-7E97-457D-ADC9-F9E09A7CD79E.mov,IMG_0563.MOV,2013-07-01T23:36:43+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.16189956665039,6.057600021362305,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
23,C4D67A89-00D0-41DE-AB18-D73D3E3D3BAB,C4D67A89-00D0-41DE-AB18-D73D3E3D3BAB.mov,IMG_0776.MOV,2013-08-03T23:47:51+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.150299072265625,5.970799922943115,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
24,CB1B9A27-A4FD-4E7D-AE70-FC9556768B1D,CB1B9A27-A4FD-4E7D-AE70-FC9556768B1D.mov,IMG_0746.MOV,2013-07-30T22:37:27+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.20439910888672,6.152599811553955,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
25,82401032-262D-46B7-8915-DBB2270D0574,82401032-262D-46B7-8915-DBB2270D0574.mov,IMG_0645.MOV,2013-07-20T13:03:55+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.155399322509766,6.095900058746338,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
26,7B68978D-F6C9-43DA-8506-ABC9D118967C,7B68978D-F6C9-43DA-8506-ABC9D118967C.mov,P1020128.MOV,2014-06-09T15:09:32+02:00,,,austria,"""8 juin 2013"," 2014 June Austria Trip""",,,True,False,False,False,False,False,48.23540115356445,16.4143009185791,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True
27,B7333AA8-EC19-4BDD-BB7A-6A5660FB447E,B7333AA8-EC19-4BDD-BB7A-6A5660FB447E.mov,IMG_2298.MOV,2014-01-03T20:56:59+01:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.15549850463867,6.095900058746338,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
28,46D69AC1-6873-4514-9137-EE6065941FDF,46D69AC1-6873-4514-9137-EE6065941FDF.mov,IMG_1942.mov,2013-12-10T12:20:01+01:00,,,,19 avr. 2013,,,True,False,False,False,False,False,,,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
29,78DDFD2B-100E-421B-B3F6-18194D9A063B,78DDFD2B-100E-421B-B3F6-18194D9A063B.mov,IMG_2734.MOV,2014-03-07T13:27:37+01:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.15570068359375,6.095200061798096,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
30,88ABBA4E-49AE-4212-8283-E1C56416306D,88ABBA4E-49AE-4212-8283-E1C56416306D.mov,IMG_0360.MOV,2013-06-11T18:00:27+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.178001403808594,6.117099761962891,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
31,2878DE34-FD59-49C0-8B81-FA43E8ECB7D7,2878DE34-FD59-49C0-8B81-FA43E8ECB7D7.mov,IMG_1489.MOV,2013-11-09T16:34:44+01:00,,,,19 avr. 2013,,,True,False,False,False,False,False,46.14830017089844,5.970200061798096,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
32,FCFA5741-FF50-4777-B09A-A9F65444D668,FCFA5741-FF50-4777-B09A-A9F65444D668.mov,IMG_1009.mov,2013-08-25T13:39:22+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,,,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
33,1601B18A-79C8-4038-A1D7-68BD3C595375,1601B18A-79C8-4038-A1D7-68BD3C595375.mov,IMG_1096.MOV,2013-09-07T21:24:31+02:00,,,,19 avr. 2013,,,True,False,False,False,False,False,,,,False,True,com.apple.quicktime-movie,False,False,,True,True,,False,False,False,False,False,False,False,False,,,True,
