Hteam,Ateam,Month,Odd-1,Odd-N,Odd-2,Target
Man United,Leicester,10,1.57,3.9,7.5,2.0
Man United,Leicester,10,1.53,4.0,7.5,2.0
Man United,Leicester,10,1.55,3.8,7.0,2.0
Man United,Leicester,10,1.57,3.8,6.0,2.0
Man United,Leicester,10,1.57,4.0,7.0,2.0
Man United,Leicester,10,1.6,4.2,8.05,2.0
Man United,Leicester,10,1.56,3.92,7.06,2.0
Bournemouth,Cardiff,11,1.9,3.6,4.5,2.0
Bournemouth,Cardiff,11,1.9,3.4,4.4,2.0
Bournemouth,Cardiff,11,1.9,3.5,4.1,2.0
Bournemouth,Cardiff,11,1.91,3.5,4.0,2.0
Bournemouth,Cardiff,11,1.87,3.6,4.75,2.0
Bournemouth,Cardiff,11,1.93,3.71,4.75,2.0
Bournemouth,Cardiff,11,1.88,3.53,4.37,2.0
Fulham,Crystal Palace,11,2.5,3.4,3.0,0.0
Fulham,Crystal Palace,11,2.45,3.3,2.95,0.0
Fulham,Crystal Palace,11,2.4,3.3,2.95,0.0
Fulham,Crystal Palace,11,2.45,3.3,2.8,0.0
Fulham,Crystal Palace,11,2.5,3.4,3.0,0.0
Fulham,Crystal Palace,11,2.6,3.49,3.05,0.0
Fulham,Crystal Palace,11,2.47,3.35,2.92,0.0
Huddersfield,Chelsea,11,6.5,4.0,1.61,0.0
Huddersfield,Chelsea,11,6.25,3.9,1.57,0.0
Huddersfield,Chelsea,11,6.2,4.0,1.55,0.0
Huddersfield,Chelsea,11,5.8,3.9,1.57,0.0
Huddersfield,Chelsea,11,6.5,4.0,1.62,0.0
Huddersfield,Chelsea,11,6.09,3.9,1.61,0.0
Newcastle,Tottenham,11,3.9,3.5,2.04,0.0
Newcastle,Tottenham,11,3.8,3.5,2.0,0.0
Newcastle,Tottenham,11,3.7,3.35,2.05,0.0
Newcastle,Tottenham,11,3.8,3.2,2.05,0.0
Newcastle,Tottenham,11,3.9,3.4,2.1,0.0
Newcastle,Tottenham,11,4.01,3.57,2.12,0.0
Newcastle,Tottenham,11,3.83,3.4,2.05,0.0
Watford,Brighton,11,2.37,3.2,3.4,2.0
Watford,Brighton,11,2.35,3.1,3.3,2.0
Watford,Brighton,11,2.2,3.3,3.4,2.0
Watford,Brighton,11,2.38,3.0,3.3,2.0
Watford,Brighton,11,2.4,3.2,3.4,2.0
Watford,Brighton,11,2.48,3.3,3.42,2.0
Watford,Brighton,11,2.36,3.14,3.31,2.0
Wolves,Everton,11,2.37,3.3,3.3,1.0
Wolves,Everton,11,2.35,3.2,3.2,1.0
Wolves,Everton,11,2.25,3.35,3.2,1.0
Wolves,Everton,11,2.3,3.2,3.2,1.0
Wolves,Everton,11,2.38,3.3,3.3,1.0
Wolves,Everton,11,2.41,3.4,3.4,1.0
Wolves,Everton,11,2.33,3.27,3.23,1.0
Arsenal,Man City,12,4.0,3.8,1.95,0.0
Arsenal,Man City,12,3.7,3.75,1.95,0.0
Arsenal,Man City,12,3.6,3.6,2.0,0.0
Arsenal,Man City,12,3.8,3.8,1.91,0.0
Arsenal,Man City,12,3.9,4.0,1.91,0.0
Arsenal,Man City,12,4.15,4.0,2.0,0.0
Arsenal,Man City,12,3.83,3.8,1.92,0.0
Liverpool,West Ham,12,1.25,5.5,12.0,2.0
Southampton,Burnley,12,1.85,3.5,5.0,1.0
Southampton,Burnley,12,1.8,3.5,4.75,1.0
